ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender,Married,Dependents,Education,Self_Employed,Property_Area,mobile_usage_score,transaction_stability_score,bank_balance,total_income,emi,income_to_emi_ratio,credit_utilization,stability_score,cibil_proxy_score,Approved
109946,62090,713374,127,1,Male,No,1,Not Graduate,No,Urban,465,658,176667,172036,5617.118110236221,30.62164173561074,3.1472336070094014,0.7238947368421053,308.08991665533017,1
38701,108927,424090,39,1,Female,No,2,Not Graduate,No,Semiurban,365,312,630391,147628,10874.102564102564,13.57486047876943,0.6233033652708516,0.5466315789473684,228.6816981096578,0
170353,107934,508360,275,0,Female,Yes,0,Graduate,No,Semiurban,700,807,156323,278287,1848.581818181818,150.4594158876208,2.463903684998764,0.5608421052631579,301.2180172246616,1
98321,69164,1734458,273,1,Female,No,2,Graduate,No,Rural,376,742,56722,167485,6353.326007326007,26.357634123100354,16.25211296639868,0.731157894736842,310.47939335963395,0
107565,45435,375111,101,0,Female,Yes,0,Graduate,No,Urban,446,882,347788,153000,3713.970297029703,41.184716906708736,0.9429922471266101,0.5122105263157894,249.95608970369878,0
83597,98992,166062,113,0,Female,Yes,0,Graduate,No,Semiurban,796,360,352492,182589,1469.575221238938,124.1616187753874,0.41258459795474195,0.4029473684210526,210.06394485561214,0
48771,98734,1378733,122,1,Male,No,0,Graduate,No,Rural,456,394,414843,147505,11301.090163934427,13.051125752889172,2.966018634248553,0.6098947368421053,254.37465693950384,1
186451,89954,752154,321,1,Female,Yes,3+,Graduate,No,Semiurban,861,736,688043,276405,2343.158878504673,117.9122296421808,1.0191194821981917,0.8817894736842105,398.42776127157424,0
159589,10927,1164076,182,1,Female,Yes,0,Graduate,No,Rural,331,618,559878,170516,6396.021978021978,26.65552824202196,1.908703052085827,0.6647368421052632,283.9439607314764,1
134115,70917,392479,277,1,Female,Yes,0,Graduate,No,Rural,597,681,290209,205032,1416.8916967509026,144.60342808257542,1.1536408501832698,0.7752631578947369,337.21028617077627,1
89446,92087,564445,168,1,Male,Yes,3+,Not Graduate,No,Rural,343,582,581293,181533,3359.7916666666665,54.01495183426524,0.8941093913602717,0.6533684210526316,282.0138596874611,0
167210,142509,1130639,254,1,Male,No,0,Graduate,No,Rural,338,716,403031,309719,4451.334645669292,69.56327963830353,2.495721043372308,0.7082105263157894,338.2309689342476,1
115904,78834,1740555,195,1,Female,No,2,Graduate,No,Semiurban,814,728,179008,194738,8925.923076923076,21.814683326152522,7.600411339341857,0.863578947368421,369.87872677594044,1
97031,51407,1065166,108,1,Male,Yes,1,Graduate,No,Semiurban,343,423,17262,148438,9862.648148148148,15.048995845200391,15.836073860426392,0.586421052631579,245.5677009375009,1
98335,83368,1377204,316,1,Male,Yes,1,Graduate,No,Rural,879,794,3198,181703,4358.2405063291135,41.68226087461525,25.888266476183315,0.9118947368421053,386.15814423157633,1
57039,26585,1328597,258,1,Male,Yes,2,Graduate,No,Rural,689,620,179339,83624,5149.600775193799,16.23577591234559,5.793157727207322,0.7786315789473683,306.40882774759547,0
32045,13604,708708,279,1,Male,Yes,2,Not Graduate,No,Urban,613,674,655266,45649,2540.1720430107525,17.963758150713623,1.0048804280937973,0.7773684210526315,296.4664420842101,1
117598,101714,735109,341,1,Male,Yes,0,Graduate,No,Urban,897,701,370924,219312,2155.7448680351904,101.68657556598002,1.7464174055173856,0.878421052631579,381.93018787645485,0
179259,147927,1093023,98,0,Female,Yes,3+,Graduate,No,Urban,551,783,361403,327186,11153.295918367347,29.33273443653539,2.656818253634514,0.5036842105263157,291.13107559342734,0
26806,126901,128506,43,1,Female,No,3+,Not Graduate,No,Rural,559,495,319174,153707,2988.5116279069766,51.415421356836696,0.34809060226343136,0.6849473684210525,286.54026130775446,1
173783,87549,1729217,214,1,Female,Yes,2,Graduate,No,Urban,566,304,204775,261332,8080.453271028037,32.337253119667686,6.787231871258954,0.6067368421052632,282.0262851924641,1
168111,6038,1555245,125,1,Male,Yes,1,Graduate,No,Urban,722,418,571723,174149,12441.96,13.995785568707126,2.5015079062540715,0.704,298.76534748895057,0
66200,148195,800025,163,1,Male,Yes,1,Not Graduate,No,Semiurban,850,927,10212,214395,4908.128834355828,43.67271816123211,13.286803295024248,0.9587368421052631,414.32432256225167,0
131857,67444,965609,93,1,Male,No,1,Graduate,No,Urban,652,444,489503,199301,10382.89247311828,19.193284263675544,1.789812104844644,0.6928421052631579,301.11737603945664,1
45567,43449,855317,150,1,Male,Yes,0,Graduate,No,Rural,482,462,749533,89016,5702.113333333334,15.608316860849103,1.069770728662857,0.646736842105263,254.28842928800293,1
155246,133873,1645770,148,1,Male,Yes,0,Not Graduate,No,Semiurban,878,857,704226,289119,11120.067567567568,25.997414208970312,2.1820647922505985,0.9381052631578948,425.0397241767561,1
144596,111960,1911314,133,0,Female,No,1,Not Graduate,No,Urban,689,453,295447,256556,14370.781954887218,17.851370192320267,5.532871902202074,0.4083157894736842,232.2321500001447,1
80587,112442,316234,270,1,Female,Yes,1,Graduate,No,Urban,841,601,683816,193029,1171.237037037037,164.6672079973713,0.43094454195602167,0.8186315789473684,350.58353685892337,1
27565,41662,1062631,218,1,Male,No,0,Graduate,No,Rural,580,540,190101,69227,4874.454128440367,14.199087546772873,4.425766656532042,0.7105263157894737,275.0334478556729,0
194579,148771,83754,177,1,Male,Yes,0,Not Graduate,No,Semiurban,429,729,192975,343350,473.1864406779661,724.0822818743968,0.34470212984874987,0.7424210526315789,360.64175424682986,0
97452,67930,1158012,51,0,Male,No,1,Graduate,No,Semiurban,913,686,274785,165382,22706.117647058825,7.283266972522219,3.565472543374848,0.5771578947368421,277.2565674991968,1
180227,79712,658320,210,1,Male,No,0,Graduate,No,Urban,740,634,14110,259939,3134.8571428571427,82.89248781376703,10.268600842302293,0.8006315789473684,361.16341242803765,1
140415,112643,872718,72,1,Male,Yes,3+,Graduate,No,Rural,500,625,212485,253058,12121.083333333334,20.87578455298525,3.324829990285159,0.7210526315789474,327.79593038064445,1
159000,98999,1168540,121,1,Male,No,2,Not Graduate,Yes,Rural,850,842,683576,257999,9657.355371900827,26.71251885705093,1.592936519188196,0.9229473684210527,410.80804763048747,1
155581,25843,843123,156,1,Male,Yes,0,Graduate,No,Semiurban,305,677,609901,181424,5404.634615384615,33.562016841401245,1.277650738519869,0.6813684210526316,293.86046547976366,1
51008,45372,1015476,61,1,Male,No,0,Graduate,No,Semiurban,904,630,263296,96380,16647.147540983606,5.789232691669531,3.2412670445840357,0.8507368421052632,338.356731540147,1
82322,54177,1923688,147,1,Female,No,1,Graduate,No,Rural,676,876,249956,136499,13086.312925170068,10.42987210441644,6.41323394097801,0.8823157894736842,363.35762345402077,1
101343,142130,2035241,104,1,Male,No,0,Graduate,No,Semiurban,683,360,277687,243473,19569.625,12.440737074058697,6.210929942292492,0.6672631578947368,301.799063584501,1
107091,107175,64364,307,1,Male,No,2,Not Graduate,No,Semiurban,308,841,95173,214266,209.65472312703582,1017.143108966925,0.44336068001625645,0.7513684210526316,331.4907184081877,1
23103,54950,975702,311,1,Male,Yes,0,Graduate,Yes,Rural,414,428,126715,78053,3137.3054662379423,24.871065241958867,5.521330956625074,0.6109473684210527,236.98259718720783,1
116115,110208,2124871,13,1,Male,Yes,0,Graduate,No,Rural,768,515,794186,226323,163451.61538461538,1.384639820338428,2.517064959617904,0.7593684210526316,335.0815345752302,0
43543,110776,1349580,221,1,Male,Yes,0,Not Graduate,No,Semiurban,662,308,554405,154319,6106.696832579186,25.26631629403149,2.232906742995177,0.6387368421052632,266.84968566656926,1
152524,59133,552937,234,1,Female,No,2,Graduate,Yes,Rural,382,671,542038,211657,2362.9786324786323,89.5342272100309,0.9339552528722819,0.7031578947368421,310.31108090467825,0
141364,60471,1504113,143,1,Female,No,3+,Graduate,Yes,Semiurban,732,840,224087,201835,10518.272727272728,19.187162956305308,5.487721052074706,0.8848421052631579,381.07747624409177,1
185667,134144,405075,175,1,Male,No,2,Graduate,Yes,Semiurban,785,548,684767,319811,2314.714285714286,138.10468846391117,0.5512972139467341,0.7786315789473683,367.33490787078176,0
152780,84272,103486,286,1,Male,Yes,0,Not Graduate,No,Urban,477,731,141394,237052,361.83916083916085,653.3252900589754,0.5406961555743649,0.7584210526315789,339.3014103035373,1
82828,22427,1599442,143,0,Male,Yes,2,Not Graduate,No,Semiurban,748,555,774946,105255,11184.90909090909,9.40960624161892,1.9388444819418482,0.4698947368421053,218.04364524027983,1
193989,107967,1312076,34,1,Male,No,0,Not Graduate,No,Urban,932,793,402712,301956,38590.470588235294,7.8244232571964245,2.8982576119033734,0.9282105263157894,423.9337282520919,0
91007,88435,1903428,141,0,Male,No,1,Graduate,No,Urban,613,949,264646,179442,13499.489361702128,13.291518195557924,6.049426975076753,0.5931578947368421,289.44415979484387,0
75277,76340,894836,100,1,Female,Yes,3+,Graduate,No,Rural,449,764,600332,151617,8948.36,16.941658397918957,1.3759679671306349,0.7634736842105263,319.32082191245553,0
182524,108765,2142993,145,1,Male,Yes,0,Graduate,No,Urban,925,521,333764,291289,14779.262068965518,19.707972608390126,5.584142858631868,0.8114736842105263,372.680003357521,1
83535,136062,1082136,92,1,Male,Yes,3+,Not Graduate,No,Rural,892,835,215678,219597,11762.347826086956,18.6678999249696,4.073111059252177,0.9332631578947368,404.82942961217736,1
29123,49565,1858147,64,1,Male,Yes,0,Graduate,No,Urban,596,324,546900,78688,29033.546875,2.7101507848139956,3.112995476629251,0.6246315789473684,241.6980129843441,1
101867,62895,295704,354,0,Male,No,0,Graduate,No,Urban,576,941,577631,164762,835.3220338983051,197.0078430577792,0.4711430761068207,0.5781052631578948,279.59505916183537,0
162200,28424,288023,56,1,Female,Yes,1,Not Graduate,No,Urban,842,845,482611,190624,5143.267857142857,37.055613217207785,0.5407755378691015,0.9216842105263159,392.7820408083521,0
50052,97060,1967910,257,1,Male,Yes,3+,Graduate,No,Semiurban,300,724,369580,147112,7657.237354085603,19.20964227120971,4.69019019019019,0.6995789473684211,292.52228149340215,1
100644,60407,2093265,261,1,Male,Yes,0,Graduate,No,Semiurban,502,703,263041,161051,8020.172413793103,20.07823690749482,6.686871687734195,0.7545263157894737,317.72835361353197,1
39035,51354,2358890,226,0,Male,Yes,2,Graduate,No,Urban,653,463,323018,90389,10437.566371681416,8.65913927081161,6.323796706861331,0.40115789473684216,186.1960921060629,1
141998,104478,845324,329,0,Female,No,0,Graduate,No,Semiurban,725,580,699500,246476,2569.3738601823707,95.89110900097322,1.1278505670446966,0.4731578947368421,256.33133703143045,1
103005,61223,104558,13,1,Male,Yes,2,Not Graduate,No,Semiurban,708,365,287616,164228,8042.923076923077,20.416406078166986,0.3096950381498507,0.6772631578947368,285.15595359385,1
76086,69655,2450766,116,1,Male,Yes,1,Graduate,No,Urban,540,520,773752,145741,21127.293103448275,6.897906957576905,2.9751260087987648,0.6894736842105262,286.46513966997884,1
56978,66007,1523363,76,1,Male,Yes,0,Not Graduate,No,Urban,865,683,116464,122985,20044.25,6.135368728252329,9.151305988081507,0.8607368421052632,349.687262694179,0
119432,38780,655447,212,0,Male,No,2,Graduate,No,Urban,722,535,130177,158212,3091.7311320754716,51.15607960845501,3.6377950570827573,0.4532631578947368,225.0888017268078,0
138915,18871,1921417,233,1,Female,No,2,Graduate,No,Urban,651,800,266107,157786,8246.424892703862,19.131547368147167,6.078375360241943,0.842421052631579,352.4778298692014,0
188956,124085,2264544,324,1,Male,Yes,1,Not Graduate,No,Urban,910,854,2382,313041,6989.333333333333,44.781984645462785,43.231339009583444,0.9469473684210525,434.74634102572264,0
95873,13758,747778,144,1,Male,No,0,Not Graduate,Yes,Semiurban,361,665,703401,109631,5192.902777777777,21.107634218541506,0.9925365111009941,0.694,280.0585815052693,0
44727,48731,1935688,94,1,Male,Yes,0,Graduate,No,Semiurban,761,521,272315,93458,20592.425531914894,4.538244492406686,6.0055783938073,0.7596842105263157,300.6455583760019,0
169045,100123,1979511,333,1,Male,Yes,3+,Graduate,No,Rural,902,497,81733,269168,5944.477477477478,45.27273057877287,15.026690350937123,0.7941052631578948,359.84254217885746,1
131506,19694,1279125,246,1,Male,Yes,1,Not Graduate,No,Rural,730,655,494839,151200,5199.695121951219,29.073036671927063,2.347711892871105,0.8063157894736841,335.26219453071405,0
144549,98327,1599269,278,1,Female,No,2,Not Graduate,No,Semiurban,667,767,766640,242876,5752.76618705036,42.21165617515459,1.9583525176332288,0.833578947368421,370.86854668546107,1
32986,109959,710323,166,1,Male,No,1,Graduate,Yes,Urban,536,382,794994,142945,4279.05421686747,33.397941417812234,0.8406249038454711,0.6301052631578947,261.0867891679426,1
72787,99436,2326448,167,1,Male,Yes,2,Graduate,Yes,Urban,476,591,85997,172223,13930.826347305388,12.361839410474015,17.106612645867187,0.6991578947368421,297.78862965385696,0
157051,45754,2458604,147,0,Male,Yes,0,Graduate,No,Semiurban,654,586,634316,202805,16725.197278911564,12.124991509917027,3.5927904652236684,0.4532631578947368,237.1301586428669,0
168968,2964,2453461,272,0,Female,Yes,0,Graduate,Yes,Urban,884,486,289625,171932,9020.077205882353,19.058921243672398,7.224029444239971,0.48378947368421055,240.33782493422444,0
95515,133102,1855956,85,0,Male,Yes,1,Graduate,No,Urban,600,454,668983,228617,21834.776470588236,10.469836065043822,2.5813628416805403,0.38063157894736843,214.00411542346734,0
163881,48982,153747,351,1,Male,Yes,0,Graduate,No,Rural,378,846,485044,212863,438.02564102564105,484.85322976287813,0.28735393724628255,0.7755789473684211,340.75024067057797,0
170712,120750,947815,73,1,Male,Yes,0,Graduate,No,Urban,614,581,585387,291462,12983.767123287671,22.446455699407526,1.4917129245640846,0.7385263157894737,344.3500693935912,1
86683,29671,1140097,172,0,Male,No,1,Graduate,No,Urban,363,674,670273,116354,6628.470930232558,17.55102348656326,1.5828678848158961,0.39842105263157895,193.6349049763671,0
181146,24361,2401613,121,0,Female,Yes,2,Graduate,Yes,Rural,908,324,716291,205507,19848.04132231405,10.353497514712288,3.134074392104305,0.42315789473684207,223.73402239698052,0
68340,116722,1390120,235,1,Male,No,1,Graduate,No,Urban,647,484,114866,185062,5915.404255319149,31.279471789578917,8.431817354700181,0.7081052631578948,303.7831547238294,0
59318,140959,1363613,248,1,Male,Yes,0,Graduate,No,Urban,439,445,579063,200277,5498.439516129032,36.41771118904346,2.1676890867846303,0.626,274.9216214221417,0
141261,129094,409520,331,1,Male,Yes,3+,Graduate,No,Urban,706,513,112881,270355,1237.2205438066464,218.34155583370543,2.514228178854501,0.7389473684210526,338.451752495709,1
132800,112686,1994615,286,1,Male,Yes,0,Not Graduate,No,Semiurban,649,847,755138,245486,6974.1783216783215,35.194225678367,2.477357918766721,0.861578947368421,383.29844468628886,0
40854,37002,873900,98,1,Male,No,0,Graduate,No,Rural,632,671,502702,77856,8917.34693877551,8.729868947068528,1.5811413745562708,0.7821052631578946,306.70627921549783,0
169056,136981,275086,83,1,Male,Yes,3+,Graduate,Yes,Semiurban,684,886,154124,306037,3314.289156626506,92.31080172548506,1.3476416295976956,0.8890526315789473,410.27181780817557,1
51983,100177,2469736,320,1,Male,Yes,2,Graduate,No,Semiurban,903,574,234197,152160,7717.925,19.712589512140614,8.690225442210862,0.8268421052631578,342.9622719563059,0
163906,25824,515673,181,1,Female,No,3+,Graduate,No,Urban,856,800,716550,189730,2849.022099447514,66.57141361703117,0.6727193268540865,0.9071578947368422,386.42415620576975,1
16362,19404,89764,45,1,Female,No,2,Graduate,No,Urban,470,404,515601,35766,1994.7555555555555,17.921032413232528,0.15870551855459944,0.6185263157894736,228.7669470872058,1
162415,130674,240701,299,1,Male,No,1,Graduate,No,Semiurban,455,829,183412,293089,805.0200668896321,363.6249419087137,1.031228043116892,0.7927368421052632,368.29889853050565,0
160581,41272,1158644,237,0,Female,Yes,0,Graduate,No,Urban,943,696,656466,201853,4888.793248945148,41.28047746058482,1.6400562801323773,0.5908421052631578,292.25716519582164,1
159367,114883,302114,20,1,Female,Yes,0,Graduate,No,Urban,719,325,574651,274250,15105.7,18.15419648235551,0.483652471540108,0.6638947368421053,308.19138955058423,0
137997,20798,2114503,284,1,Male,No,3+,Graduate,No,Semiurban,312,747,61496,158795,7445.433098591549,21.324975044768102,18.964832819114587,0.7130526315789474,301.09067166339116,0
102239,42080,1305497,223,1,Male,No,2,Graduate,No,Rural,644,611,226620,144319,5854.2466367713005,24.647808871733602,4.719459908900297,0.7606315789473683,315.019712483321,1
145455,42528,843558,225,1,Male,No,0,Graduate,No,Rural,377,300,675595,187983,3749.1466666666665,50.126839483611306,1.1625741632729,0.5453684210526315,238.59406739065625,1
66267,42165,57717,312,1,Male,Yes,0,Graduate,No,Rural,319,850,280665,108432,184.9903846153846,582.9978803701598,0.17454825881178837,0.7586315789473683,306.8712452205978,1
159434,101210,1225506,184,1,Male,Yes,0,Graduate,No,Semiurban,420,648,30068,260644,6660.358695652174,39.12775334709429,15.305815057201379,0.7054736842105263,323.7970630374566,0
117794,137158,420694,172,1,Male,No,0,Not Graduate,No,Rural,465,694,483110,254952,2445.8953488372094,104.19407602419771,0.7891316988989139,0.7390526315789474,335.9893123015517,1
99899,136549,2446212,226,1,Female,No,2,Graduate,No,Rural,351,675,719060,236448,10823.946902654867,21.84287850335876,3.180781733544847,0.6950526315789474,313.5940699232691,0
108537,111232,763166,80,1,Male,Yes,0,Graduate,No,Urban,843,358,445146,219769,9539.575,23.035194419623554,1.5412948907998854,0.7169473684210526,315.27423515092926,1
120217,30378,1213448,64,1,Female,No,0,Graduate,Yes,Semiurban,584,515,780494,150595,18960.125,7.942303001536038,1.4611159141426668,0.7012631578947368,292.35459365312755,1
21893,144087,95622,305,1,Male,Yes,3+,Graduate,No,Urban,658,756,91296,165980,313.51475409836064,527.7335890833655,0.6767495187407995,0.8261052631578947,347.78734489555507,1
40862,81311,370757,87,1,Male,Yes,1,Not Graduate,Yes,Rural,862,520,533964,122173,4261.574712643678,28.661785009330067,0.6348970141995054,0.7911578947368421,320.5757388716993,1
60414,81895,558341,187,1,Female,Yes,0,Graduate,No,Rural,844,877,519787,142309,2985.780748663102,47.64628272888736,0.979911791599317,0.9357894736842105,386.046112873488,1
36188,105208,176717,105,1,Male,No,0,Graduate,No,Rural,833,506,787404,141396,1683.0190476190476,83.96342084129803,0.21102956279167523,0.7761052631578947,319.50827882185746,0
96328,115364,1828684,92,1,Male,Yes,0,Graduate,No,Urban,427,598,416918,211692,19877.0,10.649562330214307,3.916499256828822,0.6866315789473684,303.1701983108196,1
138654,142938,2366270,220,1,Male,Yes,0,Not Graduate,No,Rural,784,589,657593,281592,10755.772727272728,26.178111887225384,3.3441116574075775,0.7955789473684209,364.42896086172516,1
136069,87356,2464120,291,1,Male,No,0,Graduate,No,Urban,947,312,116328,223425,8467.766323024054,26.382236972647828,14.814823721802703,0.7304210526315789,321.1766133467248,0
102152,91509,701233,165,1,Male,Yes,0,Not Graduate,No,Urban,304,827,35492,193661,4249.89696969697,45.557679092327035,8.20232302437655,0.7442105263157894,323.1731711641046,0
173189,111829,1982428,60,1,Male,No,0,Not Graduate,No,Semiurban,864,388,573180,285018,33040.46666666667,8.626069867762125,3.1811483038608426,0.7362105263157894,340.146424674306,0
119568,38266,1284956,97,0,Male,Yes,0,Not Graduate,No,Rural,862,604,3048,157834,13246.969072164948,11.913826122346705,24.222515457698687,0.5265263157894737,254.56533374048098,1
29651,46156,162350,69,1,Male,Yes,0,Graduate,No,Rural,846,890,699866,75807,2352.8985507246375,32.20487135125817,0.21650534895568008,0.9418947368421053,371.2475202102503,0
156524,93821,272219,319,1,Male,No,3+,Graduate,No,Urban,557,945,16638,250345,853.3510971786834,293.0235600173187,4.085041567874186,0.8737894736842107,390.2142011560292,1
121301,9619,1392077,123,1,Male,No,0,Graduate,No,Urban,429,449,550818,130920,11317.69918699187,11.566700186754778,2.316969531538669,0.6245263157894736,256.30430891508655,1
132422,48073,1087955,142,1,Male,Yes,0,Not Graduate,No,Semiurban,775,544,361525,180495,7661.654929577465,23.555151792533202,2.6437154486361703,0.7737894736842106,329.09346347103997,1
119594,107699,70534,36,1,Male,No,2,Graduate,No,Urban,704,667,516363,227293,1959.2777777777778,115.94938359076095,0.12453850269173657,0.8031578947368421,353.93421697400527,0
117412,146419,2328758,167,1,Male,No,0,Graduate,No,Rural,772,754,498706,263831,13944.65868263473,18.918504030829673,4.244090642347633,0.861263157894737,387.17726799095783,1
31754,77924,1839325,330,1,Female,No,0,Graduate,No,Urban,466,462,355426,109678,5573.712121212121,19.67419978202435,4.536771198689773,0.6416842105263159,257.6708248792305,1
118453,59951,1280911,154,1,Male,No,2,Not Graduate,No,Urban,415,656,385177,178404,8317.603896103896,21.44638718566193,2.943425318893232,0.7072631578947368,303.14876357842275,0
162058,66056,2468135,238,1,Male,Yes,1,Not Graduate,No,Semiurban,886,842,402695,228114,10370.31512605042,21.99470339369293,5.452092468439015,0.9343157894736842,407.52308527235,0
71230,102814,2429281,75,0,Male,Yes,0,Graduate,No,Semiurban,635,795,541704,174044,32390.413333333334,5.3731523910040355,4.105567986696051,0.5352631578947369,263.83799527052645,0
126525,81671,2436181,61,1,Female,Yes,2,Graduate,No,Rural,853,834,568214,208196,39937.39344262295,5.212928764876396,3.940675882461413,0.9205263157894736,396.809499685956,1
20701,3484,684147,266,1,Male,Yes,1,Not Graduate,No,Urban,902,877,359682,24185,2571.9812030075186,9.399602286923248,1.669946446268081,0.9541052631578948,362.525127643686,0
79287,80885,2208182,34,1,Male,No,0,Not Graduate,No,Urban,598,859,282002,160172,64946.529411764706,2.466175410376521,6.651110535478702,0.8505263157894738,356.79937647072444,0
95792,60009,1286135,168,1,Male,Yes,0,Not Graduate,No,Rural,470,632,34051,155801,7655.565476190476,20.34867989890407,15.301840549190372,0.7145263157894737,299.9357426923266,1
196806,105120,1828790,122,1,Male,Yes,0,Graduate,No,Semiurban,882,933,623374,301926,14990.081967213115,20.140374167811245,2.715860725243327,0.9713684210526317,442.17591333254217,1
54698,131266,2155850,17,1,Male,Yes,2,Graduate,Yes,Urban,764,621,180933,185964,126814.70588235294,1.466411425194597,9.335391650392106,0.8027368421052632,342.61812330495843,1
66161,144367,450150,196,0,Male,Yes,0,Not Graduate,No,Urban,732,761,347357,210528,2296.683673469388,91.62618964085391,1.1328603749273323,0.5515789473684211,279.5169794322895,0
90577,91534,1148218,347,1,Male,Yes,0,Graduate,No,Rural,922,912,794099,182111,3308.985590778098,55.018668512448144,1.3602883074141776,0.9751578947368422,412.2894271374529,1
198643,54384,365802,36,1,Male,No,1,Graduate,No,Semiurban,460,328,627854,253027,10161.166666666666,24.898922473881882,0.5396471806613223,0.5833684210526315,270.81285496377643,0
172879,66591,734744,295,1,Male,Yes,3+,Graduate,No,Urban,534,906,276691,239470,2490.657627118644,96.10870987797927,2.2490487953448364,0.8501052631578947,377.68129281924666,1
21418,26469,1063116,199,0,Female,Yes,0,Graduate,No,Urban,325,834,379940,47887,5342.291457286432,8.96207897001359,2.4727078196957715,0.4537894736842105,199.04943508262105,1
58278,140390,2145914,263,1,Male,Yes,0,Not Graduate,No,Urban,551,948,259812,198668,8159.3688212927755,24.345468244231487,6.926503815216971,0.8731578947368421,376.52748123695704,0
167009,127096,2163531,45,1,Female,No,0,Graduate,No,Urban,590,802,500946,294105,48078.46666666667,6.117060366726197,3.9269383932363606,0.8240000000000001,380.7135638059237,0
25786,128097,1005229,314,1,Female,Yes,1,Graduate,No,Urban,594,401,122233,153883,3201.3662420382166,48.052904748976424,5.836448299687052,0.656421052631579,274.5111088357796,1
173299,49218,856527,15,0,Female,Yes,0,Graduate,No,Urban,398,496,762114,222517,57101.8,3.896779142178667,1.054688134917019,0.33452631578947367,194.5150817816859,1
67056,48332,1350272,327,1,Female,Yes,2,Not Graduate,No,Urban,825,302,789714,115388,4129.272171253822,27.937141964417272,1.6080141572011424,0.6876842105263157,276.03326456686534,0
184765,128492,2284083,240,1,Male,Yes,0,Not Graduate,No,Urban,618,695,238846,313257,9517.0125,32.91201813403796,7.907615130553998,0.7877894736842106,370.4776084464808,1
69314,81682,2442491,129,1,Male,No,0,Graduate,Yes,Semiurban,585,584,184367,150996,18934.038759689924,7.97442254628227,10.421650659009162,0.7306315789473685,304.6590530777758,0
95348,105698,605572,14,1,Male,No,0,Not Graduate,No,Semiurban,861,608,431395,201046,43255.142857142855,4.647802293976413,1.2579524091442578,0.8278947368421052,356.39694385993346,1
137454,73473,506884,224,0,Male,No,0,Graduate,No,Rural,616,776,517461,210927,2262.875,93.17078018883551,0.8932490514766653,0.5212631578947369,267.7459178623011,1
38361,66415,1781597,42,1,Male,No,0,Not Graduate,No,Urban,879,833,514886,104776,42418.97619047619,2.46996838304505,3.153905389760058,0.9283157894736842,372.9438670248022,1
